ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2563,6209D030,บ้านใหม่ (จุดที่ 2) ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,80,7.6,622,-,-,91,25,24,0.73,0.0,0.1,-,-,8,29,0,400,0.4,0.00,7.0,330,3,404,,,,,,
2563,6209D030,บ้านใหม่ (จุดที่ 2) ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,80,7.6,622,-,-,91,25,24,0.73,0.0,0.1,-,-,8,29,0,400,0.4,0.00,7.0,330,3,404,,,,,,
2563,6209D031,บ้านวังกระทิง ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,120,7.7,624,-,-,76,30,24,0.42,0.0,0.0,-,-,22,29,0,360,0.2,0.00,23,320,20,406,,,,,,
2563,6209D032,บ้านสำโรง ตำบลทรายขาว อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทรายขาว,80,7.9,698,-,-,48,48,53,0.82,0.0,0.0,-,-,4,29,0,485,0.4,0.00,5.3,320,0,454,,,,,,
2563,6209C030,บ้านห้างสูง ตำบลบ่อพุ อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,บ่อพุ,86,7.0,99,-,-,7.5,7.3,6.4,1.6,0.2,0.0,-,-,< 1,5.6,0,56,0.2,0.00,10,49,3,64,,,,,,
2563,6209C026,บ้านชำโสม ตำบลแสลง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,แสลง,62,7.0,181,-,-,12,4.1,9.3,3.9,0.1,0.0,-,-,1,4.0,0,73,0.2,0.00,5.1,47,0,118,,,,,,
2562,6109B020,บ่อน้ำบาดาลหมู่บ้าน ตำบลตะเคียนทอง อำเภอเขาคิชฌกูฏ จังหวัดจันทบุรี,จันทบุรี,เขาคิชฌกูฏ,ตะเคียนทอง,-,7.1,39,2.2,0,3.7,0.4,< 4,1.4,0.1,0.0,0.0,0.0,< 1,3.6,0,14,0.0,0.00,< 0.9,11,0,25,,,,,,
2564,6309G048,สำนักสงฆ์บ้านซอยสุขสันต์ ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทับช้าง,30,7.2,"1,010",-,-,80,37,52,1.1,0.2,0.3,0.0,0.0,77,78,0,387,0.5,0.00,< 0.9,350,33,658,,,,,,
2564,6309G049,สำนักสงฆ์บ้านซอยสุขสันต์ ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทับช้าง,30,7.1,"1,110",-,-,72,62,92,0.82,0.4,0.3,0.0,0.0,56,54,0,566,0.8,0.00,< 0.9,430,0,722,,,,,,
2564,6109F021,ทัณฑสถานเปิดทุ่งเบญจา หมู่บ้านเนินดินแดง ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,80,7.6,161,0.1,-,16,9.1,9.3,4.7,0.0,0.0,0.0,0.2,4,14,0,107,0.5,-,< 0.9,78,0,105,,,,,,
2563,6209C025,บ้านโป่งขนมจีน ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,92,7.4,227,-,-,33,7.6,9.7,1.0,0.1,0.0,-,-,1,4.8,0,162,0.2,0.00,5.5,110,0,148,,,,,,
